"","a","b","g","u"
"Item_52",1.05496970655929,-2.78561663019479,0.238966695411139,1
"Item_53",1.13596509796404,-1.68901328290077,0.234737257503162,1
"Item_54",1.01594446589339,-0.366368054167758,0.180061454447912,1
"Item_55",0.941039256576561,-0.188817548622342,0.171142486391179,1
"Item_56",1.71682569356823,1.02129330440223,0.266587139307528,1
"Item_57",1.0752359823933,-0.958232180722507,0.323784442913507,1
"Item_58",0.806730719990119,-0.214247554055468,0.316770532667864,1
"Item_59",1.06778865110999,0.454918226491931,0.327432441506833,1
"Item_60",0.867852388391836,0.364871186414175,0.226524938041293,1
"Item_61",1.13901271122608,-0.155199051254959,0.182976690650324,1
"Item_62",0.965611544588612,-0.0202152208567027,0.227902188846896,1
"Item_63",0.948971994739411,-1.99779853099898,0.233049097073864,1
"Item_64",0.775588411221095,-0.0483103818714519,0.239021976474201,1
"Item_65",0.737812381933676,0.495865487983367,0.207470027244548,1
"Item_66",1.60674889521725,-0.681745278271333,0.188792201211069,1
"Item_67",0.929560451298148,-0.551779480245598,0.171513088903657,1
"Item_68",0.824815715237562,-0.399372141201796,0.201521539629934,1
"Item_69",0.905928687052788,1.23589637428814,0.102484045108831,1
"Item_70",0.849927399033963,1.41915054349012,0.234869044216356,1
"Item_71",1.1590748886419,0.133923998727009,0.128564948896243,1
"Item_72",0.814927328287982,0.0412274475945854,0.0501010543283767,1
"Item_73",1.16356294093751,-0.431466368113232,0.241602500673104,1
"Item_74",0.980529602364194,-0.285063124992244,0.176793851940048,1
"Item_75",0.86986206181765,0.280544529422093,0.249776586533361,1
"Item_76",1.04842040327775,0.642577851474425,0.152736678464919,1
"Item_77",0.873605890427495,-1.14909984819304,0.160182484088858,1
"Item_78",0.628062276137633,-0.192901004348978,0.0883005572758883,1
"Item_79",1.06554842631392,1.96145937550523,0.3208059549398,1
"Item_80",0.883364019165086,0.482926898441008,0.171673940203438,1
"Item_81",1.0345834182113,-3.05535865954253,0.154922735906498,1
"Item_82",1.07190816920655,0.096662965962653,0.12979665617546,1
"Item_83",1.00261725466192,-0.35527258825622,0.26122407113,1
"Item_84",1.12997798331928,2.04454736973797,0.193345968816417,1
"Item_85",1.08889577748567,1.64882374954536,0.199955450110287,1
"Item_86",0.88117655833097,-0.79812330752847,0.137210425907909,1
"Item_87",1.27487076843006,0.694886910951071,0.153186229113431,1
"Item_88",1.0790941526424,-0.030857670831283,0.190666205352461,1
"Item_89",0.965847337062441,-0.218942850072968,0.144942350909991,1
"Item_90",0.951861273509512,-0.344590838455598,0.361217016207305,1
